# ABR CC CHANNEL SSIM
puffer_ttp_static bbr fox 0.971633
puffer_ttp_static bbr univision 0.9764764285714286
robust_mpc cubic nbc 0.96371
robust_mpc cubic nbc 0.978158375
robust_mpc cubic fox 0.9867196
robust_mpc cubic cbs 0.9798936666666667
robust_mpc cubic nbc 0.9831935
robust_mpc cubic fox 0.9793964285714285
robust_mpc cubic abc 0.9825643
linear_bba cubic cbs 0.9519475714285714
linear_bba cubic nbc 0.9744636153846155
linear_bba cubic abc 0.9430053333333334
linear_bba cubic fox 0.9741520833333333
linear_bba cubic univision 0.9630163333333334
linear_bba cubic pbs 0.9684607777777777
linear_bba cubic abc 0.9653162222222222
linear_bba cubic nbc 0.9565456666666667
linear_bba cubic cbs 0.9564401333333333
linear_bba bbr cbs 0.940207
puffer_ttp_static cubic cbs 0.864294
puffer_ttp_static cubic cbs 0.954621
puffer_ttp_static cubic cbs 0.94684
puffer_ttp_static cubic cbs 0.940415
puffer_ttp_static cubic cbs 0.9851017000000001
puffer_ttp_static cubic fox 0.9835167631578948
mpc cubic cbs 0.9765483482587065
linear_bba cubic cbs 0.9472813333333333
linear_bba cubic abc 0.9727610000000001
pensieve cubic cbs 0.9807026666666667
puffer_ttp_static cubic pbs 0.9903995
puffer_ttp_static cubic univision 0.9860413902439027
pensieve cubic nbc 0.9900615555555555
pensieve cubic abc 0.9859935555555555
pensieve cubic fox 0.9839125
pensieve cubic univision 0.9878998750000001
pensieve cubic pbs 0.9915131538461537
puffer_ttp_static cubic cbs 0.9770208493150686
puffer_ttp_static cubic cbs 0.9729850000000002
mpc bbr abc 0.926765
mpc bbr nbc 0.9777274444444445
mpc bbr cbs 0.984913111111111
puffer_ttp_static cubic fox 0.9724235
mpc bbr nbc 0.9853887777777778
mpc bbr cbs 0.9777359733333331
puffer_ttp_static cubic nbc 0.9841185333333334
mpc bbr abc 0.9830526666666667
mpc bbr fox 0.9816174444444444
mpc bbr cbs 0.9830416000000002
puffer_ttp_static cubic abc 0.9804655
puffer_ttp_static cubic pbs 0.982731
puffer_ttp_static cubic univision 0.9851253333333334
puffer_ttp_static cubic fox 0.9745754444444444
puffer_ttp_static cubic cbs 0.9776992999999999
mpc bbr cbs 0.877512
mpc bbr nbc 0.9847967272727272
mpc cubic nbc 0.9769602857142857
mpc bbr abc 0.9812984
mpc bbr univision 0.9845364615384613
mpc cubic abc 0.9763545000000001
mpc cubic nbc 0.9773071999999999
mpc cubic fox 0.9542662
mpc cubic pbs 0.9833657142857144
mpc cubic cbs 0.9578156666666665
robust_mpc cubic cbs 0.9669628333333332
mpc bbr cbs 0.937206125
mpc bbr pbs 0.9876417205882353
robust_mpc cubic nbc 0.9880930000000001
robust_mpc cubic abc 0.9493336000000001
robust_mpc cubic fox 0.9791532941176471
mpc cubic cbs 0.9848223846153845
linear_bba bbr cbs 0.9707691764705882
mpc bbr fox 0.9818923636363636
mpc bbr abc 0.9860672222222223
mpc bbr nbc 0.9884167777777778
mpc bbr cbs 0.980602909090909
robust_mpc cubic fox 0.956948
robust_mpc cubic cbs 0.9609323636363637
mpc cubic cbs 0.97418725
mpc cubic nbc 0.9870734444444444
mpc cubic abc 0.984004
mpc cubic fox 0.9834636666666666
mpc cubic univision 0.9826401111111112
mpc cubic pbs 0.9910650256410253
puffer_ttp_static cubic cbs 0.9843906140350877
mpc cubic cbs 0.9823769347826087
puffer_ttp_static cubic abc 0.9870034285714286
puffer_ttp_static cubic fox 0.9577154285714287
puffer_ttp_static cubic abc 0.9824218636363639
puffer_ttp_static cubic nbc 0.9438793333333333
puffer_ttp_static cubic cbs 0.94714021875
robust_mpc bbr cbs 0.9533551538461541
linear_bba cubic cbs 0.9687819354838709
robust_mpc bbr nbc 0.9558459000000001
robust_mpc bbr pbs 0.952395294117647
linear_bba cubic nbc 0.9713408235294118
robust_mpc bbr univision 0.89837525
robust_mpc bbr fox 0.9247453333333334
linear_bba cubic abc 0.97875
linear_bba cubic fox 0.959651
robust_mpc bbr abc 0.9717233999999999
robust_mpc bbr nbc 0.9687786666666667
linear_bba cubic pbs 0.9780816153846152
linear_bba bbr pbs 0.9855665865724382
linear_bba cubic univision 0.9787383333333334
robust_mpc bbr cbs 0.9745165284552846
linear_bba cubic fox 0.9557298
linear_bba cubic abc 0.9547872142857142
linear_bba cubic nbc 0.9584928666666666
linear_bba cubic cbs 0.9797204790697674
puffer_ttp_static cubic pbs 0.9850394666666666
pensieve bbr cbs 0.966972875
pensieve bbr fox 0.98145225
pensieve bbr abc 0.9851189999999999
pensieve bbr nbc 0.98234275
pensieve bbr univision 0.9796858
pensieve bbr pbs 0.9916547999999998
pensieve bbr abc 0.9833376666666668
pensieve bbr nbc 0.9807085999999998
pensieve cubic nbc 0.9783398181818183
linear_bba cubic nbc 0.9578408333333334
linear_bba cubic nbc 0.9577278888888888
linear_bba cubic abc 0.9723777
robust_mpc bbr nbc 0.9428610000000001
robust_mpc bbr abc 0.9718896153846155
linear_bba cubic fox 0.9590234444444445
linear_bba cubic pbs 0.96810375
robust_mpc bbr pbs 0.9873364117647059
robust_mpc bbr abc 0.9558562173913046
puffer_ttp_static cubic cbs 0.9835482
robust_mpc bbr cbs 0.9420493000000001
linear_bba bbr cbs 0.9839312020905924
robust_mpc bbr nbc 0.972326132352941
robust_mpc bbr nbc 0.9583637777777777
robust_mpc bbr abc 0.9303285
robust_mpc bbr cbs 0.8759159999999999
robust_mpc bbr abc 0.8800991111111112
robust_mpc bbr fox 0.9065945
robust_mpc bbr pbs 0.9785616666666667
robust_mpc bbr univision 0.9145355714285713
robust_mpc bbr cbs 0.9359145
robust_mpc bbr nbc 0.9349128
robust_mpc bbr abc 0.9681685322580645
mpc bbr abc 0.9781800623501199
puffer_ttp_static cubic nbc 0.9874050000000001
puffer_ttp_static cubic abc 0.9779703333333334
puffer_ttp_static cubic fox 0.9827413333333332
puffer_ttp_static cubic univision 0.9816900909090908
puffer_ttp_static cubic pbs 0.9866046712328768
puffer_ttp_static cubic cbs 0.9787065
puffer_ttp_static cubic nbc 0.9879620999999998
puffer_ttp_static cubic abc 0.9856473333333334
puffer_ttp_static cubic fox 0.9835373931623932
linear_bba cubic cbs 0.9803658540145984
puffer_ttp_static bbr cbs 0.9801713160377358
robust_mpc bbr cbs 0.976189431818182
robust_mpc bbr abc 0.9759881025641025
linear_bba bbr cbs 0.9821406861702129
mpc cubic nbc 0.9822473333333334
robust_mpc bbr fox 0.9867351875
mpc cubic abc 0.9786591851851851
linear_bba cubic nbc 0.9774495000000002
linear_bba cubic abc 0.9342415999999998
linear_bba cubic pbs 0.9879892499999999
mpc cubic fox 0.9767568000000001
mpc cubic pbs 0.9887384432757326
linear_bba cubic cbs 0.9826188508719182
pensieve cubic cbs 0.9677775625
pensieve bbr cbs 0.9696806666666666
pensieve bbr fox 0.9858891666666668
puffer_ttp_static bbr cbs 0.9805794999999999
puffer_ttp_static bbr abc 0.9786058
puffer_ttp_static bbr fox 0.9811518823529412
puffer_ttp_static bbr univision 0.9580453846153846
puffer_ttp_static bbr pbs 0.9902844292168674
puffer_ttp_static bbr pbs 0.988922956521739
puffer_ttp_static bbr fox 0.9814483888888889
pensieve bbr cbs 0.908899
puffer_ttp_static bbr abc 0.984119846153846
puffer_ttp_static bbr cbs 0.9846805882352941
puffer_ttp_static bbr nbc 0.9698142857142857
puffer_ttp_static bbr nbc 0.9804061309523808
pensieve bbr cbs 0.9842227173913044
puffer_ttp_static bbr cbs 0.9862240714285714
linear_bba cubic cbs 0.9609787142857142
robust_mpc cubic cbs 0.9749062727272727
robust_mpc cubic univision 0.9859016666666667
pensieve bbr nbc 0.9857511153846155
puffer_ttp_static bbr cbs 0.9745384666666667
puffer_ttp_static bbr nbc 0.980202
pensieve bbr abc 0.9800635714285714
puffer_ttp_static bbr abc 0.9728365
puffer_ttp_static bbr fox 0.983459
puffer_ttp_static bbr univision 0.9918783333333333
puffer_ttp_static bbr pbs 0.9891763333333333
pensieve bbr fox 0.9856622142857143
puffer_ttp_static bbr cbs 0.97573475
puffer_ttp_static bbr pbs 0.9900099090909091
pensieve bbr pbs 0.989847611111111
puffer_ttp_static bbr univision 0.9864539210526315
pensieve bbr cbs 0.9773846774193548
robust_mpc bbr cbs 0.9765385166240409
puffer_ttp_static bbr abc 0.9826539710144929
pensieve bbr nbc 0.9843355
pensieve bbr abc 0.9868300588235295
robust_mpc cubic abc 0.9830741333333334
pensieve bbr pbs 0.9763568181818182
mpc cubic cbs 0.9702601764705883
pensieve bbr nbc 0.9841578
pensieve bbr abc 0.9852884444444443
pensieve bbr fox 0.988167888888889
pensieve bbr univision 0.9901836666666666
pensieve bbr pbs 0.9898933333333333
pensieve bbr cbs 0.9834124583333335
mpc cubic nbc 0.9789818
mpc cubic abc 0.976996
mpc cubic fox 0.9830117142857144
mpc cubic univision 0.982757
pensieve bbr nbc 0.9840162947368422
mpc cubic pbs 0.9901928333333334
mpc cubic cbs 0.9688625833333333
mpc cubic nbc 0.984011888888889
mpc cubic abc 0.9890003333333335
mpc cubic fox 0.9841086666666666
mpc cubic univision 0.9831962307692308
mpc cubic cbs 0.9783085
mpc cubic nbc 0.9836452100000002
pensieve bbr cbs 0.9785509201720842
mpc cubic abc 0.976231823699422
linear_bba bbr nbc 0.9402125555555556
linear_bba bbr abc 0.9380896666666666
linear_bba bbr fox 0.9348824
linear_bba bbr nbc 0.9814174907407407
linear_bba bbr cbs 0.9345807500000001
linear_bba bbr fox 0.9589455
linear_bba bbr abc 0.9775875616438358
linear_bba bbr cbs 0.9648298571428572
linear_bba bbr pbs 0.9839111
linear_bba bbr abc 0.9556921111111111
linear_bba bbr fox 0.9615758888888889
linear_bba bbr nbc 0.960113
pensieve bbr abc 0.9823036111111111
pensieve bbr fox 0.9823314444444444
pensieve bbr univision 0.9806558888888889
pensieve bbr pbs 0.9890995555555554
pensieve bbr cbs 0.9797998888888889
pensieve bbr nbc 0.9862245555555555
pensieve bbr abc 0.9803066666666668
robust_mpc bbr cbs 0.9424046363636365
robust_mpc bbr pbs 0.9688598095238096
robust_mpc cubic cbs 0.9128487368421054
robust_mpc cubic nbc 0.8824773333333334
robust_mpc bbr fox 0.9776849285714287
robust_mpc cubic cbs 0.82492
linear_bba bbr cbs 0.881832
robust_mpc cubic abc 0.8324553333333333
robust_mpc cubic fox 0.9197459166666667
linear_bba bbr cbs 0.9823155537190082
robust_mpc cubic cbs 0.9570224424778762
robust_mpc cubic cbs 0.9767804664536742
robust_mpc bbr nbc 0.9360146666666666
robust_mpc bbr abc 0.89295675
robust_mpc bbr fox 0.9320060000000001
robust_mpc bbr univision 0.9597495
robust_mpc bbr pbs 0.9863828477666362
puffer_ttp_static bbr univision 0.9798100000000001
puffer_ttp_static bbr fox 0.958839
puffer_ttp_static bbr abc 0.950703
puffer_ttp_static bbr nbc 0.9703608097014925
linear_bba bbr nbc 0.9766786027397261
puffer_ttp_static bbr cbs 0.9769319758064516
linear_bba bbr pbs 0.978468
linear_bba bbr univision 0.9703769999999999
linear_bba bbr fox 0.9828006219512195
robust_mpc bbr fox 0.9583253636363636
robust_mpc bbr pbs 0.9806827
robust_mpc bbr abc 0.9391822727272726
robust_mpc bbr nbc 0.9364675
robust_mpc bbr cbs 0.9826470555555554
pensieve cubic cbs 0.9447263636363638
pensieve cubic nbc 0.9234596666666667
pensieve cubic abc 0.8888419999999999
pensieve cubic fox 0.9724972083333334
robust_mpc bbr abc 0.9184803333333333
pensieve bbr cbs 0.899838
robust_mpc bbr nbc 0.9652727931034483
puffer_ttp_static bbr nbc 0.9791454571428572
pensieve cubic univision 0.975701
pensieve cubic pbs 0.98000075
puffer_ttp_static cubic cbs 0.93140075
puffer_ttp_static cubic nbc 0.9800536666666667
pensieve cubic cbs 0.969123183717424
puffer_ttp_static cubic fox 0.9818411363636362
linear_bba cubic nbc 0.950956
puffer_ttp_static bbr abc 0.9826341428571429
puffer_ttp_static cubic pbs 0.9785515384615385
puffer_ttp_static cubic cbs 0.9795637857142856
mpc bbr cbs 0.9730387142857142
mpc bbr nbc 0.9682811666666667
puffer_ttp_static cubic nbc 0.9810549500000001
mpc bbr abc 0.963824
mpc bbr fox 0.9534963333333333
mpc bbr pbs 0.9863660000000001
mpc bbr cbs 0.9119219999999999
mpc bbr nbc 0.9573787728836889
puffer_ttp_static cubic cbs 0.96155825
puffer_ttp_static cubic abc 0.9791853243243244
puffer_ttp_static bbr fox 0.9891719166666668
pensieve bbr pbs 0.9603221111111111
pensieve bbr cbs 0.989278
pensieve bbr nbc 0.9883478888888888
puffer_ttp_static bbr pbs 0.9870338750000001
puffer_ttp_static cubic cbs 0.951673
puffer_ttp_static cubic fox 0.96620175
puffer_ttp_static cubic univision 0.9800638688524591
pensieve bbr cbs 0.9504952
pensieve bbr fox 0.9811689285714287
puffer_ttp_static cubic pbs 0.985527282051282
pensieve bbr univision 0.9794633333333334
pensieve bbr pbs 0.9836298666666666
pensieve bbr univision 0.9459167368421053
puffer_ttp_static cubic cbs 0.9837984594594594
puffer_ttp_static cubic nbc 0.94089575
puffer_ttp_static cubic abc 0.9768800551181104
pensieve cubic cbs 0.9448584999999999
pensieve cubic nbc 0.9798660833333335
linear_bba bbr cbs 0.9736832054794522
pensieve cubic abc 0.97863515
pensieve cubic fox 0.9820606785714284
linear_bba cubic cbs 0.9485142222222223
mpc bbr cbs 0.9609185
linear_bba bbr cbs 0.9723050476190477
mpc bbr nbc 0.9813884999999999
