# ABR CC PLAY REBUFFER
linear_bba cubic 11.179 0.0
linear_bba bbr 8.85 0.0
mpc bbr 25.349 0.0
robust_mpc cubic 9.5 0.0
linear_bba bbr 5.7 0.0
robust_mpc cubic 5.702 0.0
linear_bba bbr 7.316 0.0
robust_mpc cubic 171.431 0.0
linear_bba bbr 9.582 0.0
mpc bbr 3599.569 0.0
puffer_ttp_static bbr 272.103 0.0
linear_bba bbr 20.384 0.0
linear_bba bbr 177.781 0.0
mpc bbr 2477.935 0.0
puffer_ttp_static cubic 16.842 0.0
puffer_ttp_static cubic 10.143 0.0
puffer_ttp_static cubic 35.707 0.0
robust_mpc bbr 203.981 0.0
puffer_ttp_static cubic 203.138 0.0
robust_mpc cubic 40.601 0.0
pensieve cubic 300.912 0.0
robust_mpc cubic 7.998 0.0
pensieve bbr 3568.817 0.0
puffer_ttp_static bbr 16.154 0.0
puffer_ttp_static bbr 7.3 0.0
puffer_ttp_static bbr 42.697 0.0
puffer_ttp_static bbr 424.798 0.0
pensieve bbr 8.351 0.0
pensieve bbr 15.406 0.0
pensieve cubic 116.054 0.0
pensieve cubic 36.308 0.0
pensieve cubic 15.352 0.0
puffer_ttp_static cubic 30.297 0.0
pensieve cubic 10.471 0.0
pensieve cubic 3499.888 0.0
puffer_ttp_static cubic 1529.917 0.0
mpc cubic 131.841 0.0
linear_bba bbr 847.389 0.0
mpc cubic 7.65 0.0
mpc cubic 15.05 0.0
mpc bbr 20.15 0.0
mpc cubic 79.649 0.0
mpc bbr 41.956 0.0
puffer_ttp_static bbr 654.332 0.0
puffer_ttp_static bbr 5.251 0.0
puffer_ttp_static bbr 7.053 0.0
puffer_ttp_static bbr 7.002 0.0
puffer_ttp_static bbr 27.793 0.0
puffer_ttp_static bbr 7.358 0.0
mpc cubic 74.751 0.0
puffer_ttp_static bbr 307.644 0.0
linear_bba bbr 15.999 0.0
mpc bbr 9.741 0.0
linear_bba bbr 14.405 0.0
mpc cubic 2823.457 0.0
mpc bbr 11.8 0.0
mpc bbr 8.747 0.0
mpc bbr 8.594 0.0
mpc cubic 50.198 0.0
puffer_ttp_static bbr 7.049 0.0
puffer_ttp_static bbr 59.205 0.0
mpc cubic 91.803 0.0
puffer_ttp_static bbr 33.906 0.0
puffer_ttp_static bbr 52.893 0.0
mpc cubic 10.448 0.0
mpc bbr 3099.291 287.771
mpc cubic 6.049 0.0
mpc cubic 6.45 0.0
mpc cubic 5.799 0.0
mpc cubic 7.5 0.0
mpc cubic 48.951 0.0
mpc cubic 11.15 0.0
mpc cubic 8.102 0.0
mpc cubic 13.607 0.0
mpc cubic 6.5 0.0
mpc cubic 9.743 0.0
mpc cubic 36.1 0.0
puffer_ttp_static bbr 1054.329 0.0
pensieve cubic 24.702 0.0
mpc cubic 8.292 0.0
mpc cubic 10.851 0.0
pensieve cubic 2059.365 4.55
mpc cubic 8.5 0.0
mpc cubic 6.4 0.0
mpc cubic 111.551 0.0
mpc bbr 10.831 0.0
puffer_ttp_static bbr 45.201 0.0
puffer_ttp_static bbr 5.95 0.0
mpc cubic 11.694 0.0
mpc cubic 25.853 0.0
pensieve bbr 21.801 0.0
mpc cubic 28.949 0.0
puffer_ttp_static bbr 9.153 0.0
pensieve bbr 80.449 9.146
puffer_ttp_static bbr 10.334 0.0
mpc cubic 22.497 0.0
robust_mpc cubic 23.888 0.0
mpc cubic 23.851 0.0
puffer_ttp_static bbr 5.349 0.0
mpc cubic 140.503 0.0
linear_bba bbr 442.697 0.0
robust_mpc cubic 622.58 5.147
pensieve cubic 30.525 0.0
puffer_ttp_static bbr 5.441 0.0
mpc cubic 10.849 0.0
mpc bbr 8.852 0.0
mpc bbr 72.15 0.0
mpc bbr 47.851 0.0
pensieve cubic 95.644 0.0
pensieve bbr 1561.253 0.0
mpc bbr 60.346 0.0
pensieve bbr 14.635 0.0
pensieve bbr 48.539 0.0
mpc bbr 88.25 0.0
pensieve cubic 56.959 0.8510000000000002
linear_bba bbr 6.098 0.0
linear_bba bbr 6.065 0.0
linear_bba bbr 77.286 0.0
pensieve bbr 777.511 0.0
pensieve cubic 283.35 0.0
linear_bba cubic 13.462 0.0
mpc bbr 42.494 0.0
linear_bba cubic 152.357 0.0
mpc bbr 5.847 0.0
mpc bbr 63.8 0.0
linear_bba bbr 95.596 0.0
mpc bbr 5.199 0.0
mpc bbr 168.401 0.0
mpc cubic 17.711 0.0
mpc bbr 376.904 0.0
linear_bba bbr 68.269 0.0
linear_bba cubic 5.262 0.0
linear_bba cubic 10.139 0.0
linear_bba bbr 63.223 0.0
linear_bba cubic 5.571 0.0
puffer_ttp_static cubic 2259.65 72.20599999999999
linear_bba cubic 718.574 0.0
linear_bba bbr 140.848 0.0
robust_mpc cubic 39.398 0.0
mpc bbr 49.098 0.0
linear_bba bbr 293.769 0.0
mpc bbr 25.661 0.0
robust_mpc cubic 175.199 0.0
mpc bbr 7.828 0.0
pensieve bbr 27.227 0.0
pensieve cubic 16.051 0.0
mpc bbr 6.516 0.0
mpc bbr 48.304 0.0
mpc bbr 16.76 0.0
pensieve cubic 14.951 0.0
pensieve bbr 5.452 0.0
mpc bbr 80.508 0.0
puffer_ttp_static cubic 22.602 0.0
pensieve cubic 52.104 0.0
mpc cubic 114.809 0.038
mpc bbr 515.33 0.0
puffer_ttp_static cubic 10.699 0.0
mpc bbr 1932.545 0.0
linear_bba bbr 787.522 0.0
puffer_ttp_static cubic 6.9 0.0
puffer_ttp_static cubic 7.794 0.0
pensieve cubic 80.038 0.0
puffer_ttp_static cubic 42.094 0.0
mpc bbr 5.23 0.0
mpc bbr 512.399 0.0
puffer_ttp_static cubic 8.052 0.0
linear_bba cubic 279.9 0.0
linear_bba cubic 21.736 0.0
mpc cubic 13.247 0.0
robust_mpc cubic 6.356 0.0
mpc cubic 6.473 0.0
linear_bba cubic 5.199 0.0
pensieve cubic 830.274 0.0
mpc cubic 10.878 0.0
linear_bba cubic 11.451 0.0
robust_mpc cubic 24685.377 11.011
mpc cubic 11.149 0.0
mpc bbr 26.343 0.0
linear_bba cubic 27.55 0.0
pensieve bbr 19.065 0.0
mpc cubic 353.306 0.0
pensieve cubic 1129.137 0.0
pensieve bbr 5.302 0.0
mpc bbr 5.001 0.0
pensieve bbr 7.553 0.0
pensieve bbr 5.847 0.0
pensieve bbr 10.51 0.0
puffer_ttp_static cubic 104.006 0.0
pensieve bbr 148.332 0.0
robust_mpc cubic 14.145 0.0
puffer_ttp_static bbr 15.951 0.0
robust_mpc cubic 18.75 0.0
robust_mpc cubic 6.575 0.0
robust_mpc bbr 32.345 0.0
puffer_ttp_static bbr 49.981 0.0
robust_mpc cubic 5.628 0.0
robust_mpc cubic 48.399 0.0
robust_mpc bbr 78.901 0.0
robust_mpc cubic 22.014 0.0
puffer_ttp_static bbr 54.534 0.0
linear_bba bbr 10.851 0.0
robust_mpc cubic 147.702 0.0
linear_bba bbr 61.418 0.0
robust_mpc bbr 8.638 0.0
robust_mpc bbr 21.305 0.0
mpc cubic 10.044 0.0
